id,key,value,type
14071252,source,PGS,regular
14071539,source,PGS,regular
14075213,source,PGS,regular
14082906,source,PGS,regular
14088372,source,PGS,regular
14089961,source,PGS,regular
14090929,source,PGS,regular
14091507,source,PGS,regular
14091507,created_by,almien_coastlines,regular
14188126,amenity,place_of_worship,regular
17322514,created_by,JOSM,regular
20964203,created_by,JOSM,regular
21015283,created_by,JOSM,regular
21093822,created_by,JOSM,regular
21269147,created_by,JOSM,regular
21307981,created_by,JOSM,regular
21397971,created_by,JOSM,regular
21449074,created_by,JOSM,regular
24563626,source,survey,regular
24563626,highway,traffic_signals,regular
24938119,highway,traffic_signals,regular
25233365,created_by,JOSM,regular
25305506,created_by,JOSM,regular
25316448,created_by,JOSM,regular
25338642,created_by,JOSM,regular
25339566,created_by,JOSM,regular
25552165,created_by,JOSM,regular
25884528,created_by,JOSM,regular
25892673,created_by,JOSM,regular
26123841,created_by,JOSM,regular
26266594,created_by,JOSM,regular
26292047,foot,yes,regular
26292047,barrier,cycle_barrier,regular
26292047,bicycle,yes,regular
26353568,created_by,JOSM,regular
26544125,created_by,JOSM,regular
26705914,created_by,JOSM,regular
26849321,created_by,JOSM,regular
27394254,highway,traffic_signals,regular
27419737,name,3345,regular
27419737,amenity,restaurant,regular
27419737,postal_code,L1 4JN,regular
27427918,created_by,JOSM,regular
27473421,created_by,JOSM,regular
27616030,created_by,JOSM,regular
27625579,created_by,JOSM,regular
27736097,created_by,JOSM,regular
28804423,created_by,JOSM,regular
29001431,created_by,JOSM,regular
29004376,name,Laburnum Court,regular
29004376,created_by,JOSM,regular
29004376,postal_code,L8 9XH,regular
31059883,name,Knotty Ash,regular
31059883,source,NPE,regular
31059883,railway,station_site,regular
31834975,name,Greasby,regular
31834975,is_in,"Wirral, Merseyside, England, UK",regular
31834975,place,village,regular
31834975,source,npe,regular
31834975,created_by,Potlatch 0.5a,regular
57057642,created_by,JOSM,regular
59956000,created_by,JOSM,regular
60166241,created_by,JOSM,regular
60269326,traffic_calming,bump,regular
60839081,created_by,JOSM,regular
61694118,created_by,JOSM,regular
61842960,name,Childwall Valley Methodist Church,regular
61842960,amenity,place_of_worship,regular
61842960,religion,christian,regular
61842960,denomination,methodist,regular
64774398,created_by,JOSM,regular
83353686,created_by,JOSM,regular
94179646,created_by,JOSM,regular
105644988,created_by,JOSM,regular
105759618,created_by,JOSM,regular
105781028,created_by,JOSM,regular
105797423,created_by,JOSM,regular
105807993,created_by,JOSM,regular
107331729,created_by,JOSM,regular
107897311,created_by,JOSM,regular
107917625,created_by,JOSM,regular
110375885,created_by,JOSM,regular
110612185,created_by,JOSM,regular
111793729,created_by,JOSM,regular
112703504,created_by,JOSM,regular
116147346,created_by,JOSM,regular
119838488,name,The Railway Inn,regular
119838488,amenity,pub,regular
119838488,created_by,Potlatch 0.5a,regular
122091307,created_by,JOSM,regular
152294709,highway,mini_roundabout,regular
157740784,created_by,JOSM,regular
207607338,created_by,JOSM,regular
245010596,ref,L15 487,regular
245010596,amenity,post_box,regular
247381353,name,Sisters of Charity of Our Lady of Evron,regular
247381353,amenity,nursing_home,regular
247381353,created_by,JOSM,regular
247386386,name,Travellers' Court,regular
247386386,created_by,JOSM,regular
247601755,created_by,JOSM,regular
250042809,created_by,JOSM,regular
252204373,created_by,JOSM,regular
253798645,created_by,JOSM,regular
256829248,created_by,JOSM,regular
262412510,name,Banquet House Chinese Take Away,regular
262412510,amenity,fast_food,regular
262412510,cuisine,chinese,regular
262417220,name,Salisbury Court,regular
262417220,note,flats,regular
262417220,created_by,Potlatch 0.8c,regular
276792016,highway,turning_circle,regular
281814300,created_by,JOSM,regular
290482707,created_by,JOSM,regular
290488740,created_by,JOSM,regular
290491057,created_by,JOSM,regular
290627834,created_by,JOSM,regular
297574265,power,tower,regular
310248259,highway,turning_circle,regular
310935560,created_by,Merkaartor 0.13,regular
321486896,created_by,Merkaartor 0.13,regular
322614526,created_by,Merkaartor 0.13,regular
322941654,created_by,Merkaartor 0.13,regular
338825172,source,yahoo,regular
340560384,highway,mini_roundabout,regular
340560384,direction,clockwise,regular
343486418,amenity,post_box,regular
343960664,power,tower,regular
344603035,power,tower,regular
348123415,foot,yes,regular
348123415,horse,no,regular
348123415,access,permissive,regular
348123415,barrier,gate,regular
348123415,bicycle,yes,regular
348123415,motorcar,yes,regular
348123415,motorcycle,yes,regular
348176019,ref,L3 212,regular
348176019,amenity,post_box,regular
348176019,royal_cypher,EIIR,regular
348176019,type,pillar,post_box
348176019,design,double_type_g,post_box
348176019,apertures,2,post_box
358297658,highway,turning_circle,regular
361453779,highway,turning_circle,regular
417002606,name,Homebase,regular
417002606,shop,doityourself,regular
429946766,source,yahoo,regular
454871105,source,bing,regular
454871105,highway,mini_roundabout,regular
454871105,direction,clockwise,regular
457823130,barrier,bollard,regular
458714874,highway,traffic_signals,regular
459974403,note,with permission by email 2009.08.09,regular
459974403,source,Friends of Rake Lane Cemetery,regular
459974403,website,http://www.wallaseycemetery.co.uk/Cemetery%20Plan.htm,regular
459974403,housenumber,6C,addr
490058110,highway,turning_circle,regular
491581360,name,Pacific Road Arts Centre,regular
491581360,tourism,attraction,regular
502506920,name,Shops,regular
502506920,source,naptan_import,regular
502506920,highway,bus_stop,regular
502506920,alt_name,Overpool Post Office;Overpool Post Office;Overpool Shops,regular
502506920,naptan:Street,Overpool Road,regular
502506920,naptan:Bearing,N,regular
502506920,naptan:AtcoCode,0610EP1095,regular
502506920,naptan:Crossing,Seymour Drive,regular
502506920,naptan:Landmark,Overpool Post Office,regular
502506920,verified,no,naptan
502506920,naptan:Indicator,o/s,regular
502506920,naptan:CommonName,Shops,regular
502506920,naptan:NaptanCode,chwawgm,regular
502506920,naptan:AltCommonName,Overpool Post Office;Overpool Shops,regular
502506920,naptan:ShortCommonName,Shops,regular
502508114,name,Red Gates,regular
502508114,source,naptan_import,regular
502508114,highway,bus_stop,regular
502508114,naptan:Street,Liverpool Road,regular
502508114,naptan:Bearing,NE,regular
