id,user,uid,version,changeset,timestamp
2988590,Autarch,4553,4,15644327,2013-04-07T18:02:49Z
4000304,daviesp12,722193,5,22176863,2014-05-06T22:16:15Z
4005559,Chris Morley,2234,1,155575,2006-11-19T16:58:33Z
4037833,Yorvik Prestigitator,493595,6,40979116,2016-07-23T20:36:41Z
4047386,wongataa,133272,10,42180333,2016-09-15T17:31:40Z
4085172,duxxa,632124,8,22030286,2014-04-29T19:50:35Z
4215745,Dyserth,1892838,10,34535162,2015-10-09T17:52:38Z
4237101,tms13,91225,4,26744843,2014-11-12T21:33:57Z
4241013,Pete Owens,111135,6,48390224,2017-05-04T10:21:50Z
4248287,kingston-upon-null,125740,2,4712792,2010-05-16T04:15:30Z
4261124,amck,5564,1,205434,2007-01-30T21:15:16Z
4288834,jrdx,195066,10,41695234,2016-08-25T17:51:59Z
4314013,kingston-upon-null,125740,2,4226560,2010-03-25T04:20:43Z
4330638,daviesp12,722193,2,32280984,2015-06-29T09:58:49Z
4335494,amck,5564,1,230314,2007-03-06T21:56:32Z
4361196,amck,5564,1,237749,2007-03-17T10:32:55Z
4377451,kingston-upon-null,125740,2,4226688,2010-03-25T05:33:44Z
4400800,Chris Morley,2234,1,249884,2007-03-30T17:43:33Z
4412655,Dyserth,1892838,2,26466719,2014-10-31T17:18:02Z
4418909,Dyserth,1892838,6,24505759,2014-08-02T21:46:16Z
4433505,mcknut,4622,1,9429,2007-04-08T09:55:23Z
4471543,kingston-upon-null,125740,2,4712792,2010-05-16T04:15:09Z
4480334,kingston-upon-null,125740,2,4223979,2010-03-24T19:46:40Z
4488366,jumpingsquirrel,451477,3,10003401,2011-11-30T22:38:42Z
4519939,mcknut,4622,1,27053,2007-04-26T15:31:23Z
4540706,daviesp12,722193,3,28442852,2015-01-27T14:05:46Z
4575096,jovianguard,5185033,11,48054983,2017-04-23T09:45:04Z
4614786,kingston-upon-null,125740,2,4711621,2010-05-15T23:50:50Z
4711819,Joe E,114310,3,8372443,2011-06-07T18:03:23Z
4830210,Mauls,24119,12,37635101,2016-03-05T21:02:53Z
4901238,peter_james,5409,1,146599,2007-07-15T22:35:12Z
4990652,mcknut,4622,1,177245,2007-07-30T13:39:35Z
5012840,mcknut,4622,2,392891,2008-03-25T17:22:50Z
5077819,pete59,431045,5,20107821,2014-01-20T17:42:41Z
5132372,mcknut,4622,1,240113,2007-08-21T15:33:53Z
7798777,amck,5564,1,490012,2007-09-22T09:04:24Z
8028836,mcknut,4622,2,635422,2008-07-31T10:37:25Z
8048425,mcknut,4622,1,539942,2007-09-30T09:48:29Z
8663021,alterain,714383,7,42766567,2016-10-10T01:38:55Z
10102842,John Embrey,2609039,7,32412578,2015-07-04T18:39:31Z
10377796,FvGordon,161619,7,47213299,2017-03-27T21:33:46Z
11531421,mahahahaneapneap,28399,5,39471339,2016-05-21T15:31:37Z
11810627,kingston-upon-null,125740,2,5924534,2010-10-01T00:38:21Z
11815875,CJW_LVRPL,20653,3,38578,2007-12-02T17:31:26Z
11842690,UniEagle,61216,3,10955376,2012-03-12T14:25:05Z
11966986,kingston-upon-null,125740,3,5989454,2010-10-08T21:02:14Z
12137662,jrdx,195066,3,42431124,2016-09-25T20:28:41Z
12170618,Mauls,24119,4,37635101,2016-03-05T21:29:29Z
12336696,jrdx,195066,3,42453163,2016-09-26T18:39:42Z
12717200,Richard,165,5,13139069,2012-09-17T06:37:46Z
13038976,salix01,76002,5,24794207,2014-08-16T20:11:24Z
13867929,kingston-upon-null,125740,5,6043381,2010-10-14T21:40:26Z
14332282,daviesp12,722193,3,23119420,2014-06-24T11:00:08Z
15080701,mackerski,6367,2,4717490,2010-05-16T14:07:42Z
15741876,lostmike,160967,5,33028261,2015-08-01T10:55:45Z
16110268,kingston-upon-null,125740,2,6213996,2010-10-29T00:58:34Z
19851301,jrdx,195066,4,41601380,2016-08-21T20:31:09Z
22744283,SK53,84681,3,4837288,2010-05-28T22:45:17Z
22791981,mcknut,4622,1,14859,2008-02-02T16:51:12Z
22796437,andypreece,201095,9,19724692,2013-12-30T23:32:54Z
22796843,khbritish,4445529,3,46195685,2017-02-18T16:02:09Z
22946340,mcknut,4622,1,99396,2008-02-11T16:01:57Z
22972206,UniEagle,61216,4,15129835,2013-02-22T23:08:57Z
23146591,mcknut,4622,3,334326,2008-03-16T20:08:47Z
23299792,mcknut,4622,1,325492,2008-03-15T12:20:58Z
23333201,BCNorwich,322785,4,44877113,2017-01-03T17:31:14Z
23546580,Martin Green,17282,1,426302,2008-03-30T20:04:38Z
23605220,jrdx,195066,4,27342052,2014-12-08T20:16:20Z
23717312,kingston-upon-null,125740,3,6027797,2010-10-13T10:09:42Z
24269389,Mauls,24119,4,19411248,2013-12-12T11:24:49Z
24656532,Zenichiro,42732,1,16840,2008-06-02T02:38:05Z
24657152,John Embrey,2609039,7,46504113,2017-03-01T20:34:37Z
24940336,brianboru,9065,9,48971091,2017-05-25T11:36:24Z
25374478,Gaz Davidson,16371,2,406635,2008-07-06T07:50:05Z
25375183,SK53,84681,4,4812383,2010-05-26T14:23:30Z
25395436,F1rst_Timer,93475,2,776631,2009-03-10T13:21:58Z
25397348,SK53,84681,4,4887023,2010-06-02T20:00:41Z
25511805,daviesp12,722193,4,18127250,2013-10-01T13:31:58Z
25691659,BCNorwich,322785,5,44877113,2017-01-03T17:31:15Z
25750987,daviesp12,722193,5,32189084,2015-06-24T18:01:24Z
25884804,kingston-upon-null,125740,7,6021251,2010-10-12T14:09:11Z
25926255,daviesp12,722193,5,18127250,2013-10-01T13:31:59Z
25968978,daviesp12,722193,4,17715665,2013-09-07T10:07:39Z
25999060,jrdx,195066,2,24577712,2014-08-06T15:26:14Z
26002282,Mark_S,82820,2,14104067,2012-11-30T21:00:22Z
26040230,daviesp12,722193,5,17606083,2013-08-31T16:37:17Z
26150281,John Embrey,2609039,3,37482077,2016-02-27T14:14:33Z
26169142,John Embrey,2609039,8,37922406,2016-03-18T15:47:07Z
26178475,thewilk,4001810,7,45046747,2017-01-10T09:59:31Z
26299288,kingston-upon-null,125740,3,6114000,2010-10-20T13:45:28Z
26501805,daviesp12,722193,5,28291261,2015-01-20T19:04:05Z
26503602,Nik_Doof,15404,1,379309,2008-08-23T19:53:32Z
26539426,F1rst_Timer,93475,6,621810,2009-02-22T21:47:46Z
26600079,Pingu,116979,2,10091206,2011-12-11T16:13:22Z
26666983,John Embrey,2609039,2,50416705,2017-07-19T20:43:55Z
26810488,The Rabbit Clan,1376064,3,19113059,2013-11-25T17:39:22Z
27101143,jrdx,195066,4,36785579,2016-01-24T22:18:54Z
27276743,mcknut,4622,3,688214,2008-09-24T09:14:06Z
27381585,mcknut,4622,2,711348,2008-09-28T15:34:31Z
27838876,Fledge,589645,2,13597184,2012-10-22T20:20:46Z
28009518,Visible Noise,460913,2,13256707,2012-09-26T09:09:35Z
28248881,Pingu,116979,3,10991460,2012-03-15T19:14:25Z
28447637,Steeley,101150,4,47005513,2017-03-20T08:45:56Z
28708566,Gregory Williams,7037,3,479414,2008-12-19T09:23:15Z
28810168,jrdx,195066,4,42735569,2016-10-08T15:07:38Z
28811263,jrdx,195066,2,24539059,2014-08-04T16:59:08Z
29293502,thewilk,4001810,4,46551558,2017-03-03T15:43:42Z
