id,key,value,type
2988590,name,Worcester Street,regular
2988590,highway,residential,regular
4000304,name,New School Lane,regular
4000304,highway,unclassified,regular
4005559,name,Childwall Court,regular
4005559,highway,residential,regular
4005559,created_by,JOSM,regular
4037833,lit,yes,regular
4037833,name,Harthill Road,regular
4037833,lanes,1,regular
4037833,highway,residential,regular
4037833,postal_code,L18,regular
4047386,foot,yes,regular
4047386,horse,yes,regular
4047386,lanes,1,regular
4047386,oneway,yes,regular
4047386,bicycle,yes,regular
4047386,highway,tertiary,regular
4047386,surface,asphalt,regular
4047386,junction,roundabout,regular
4047386,maxspeed,30 mph,regular
4047386,postal_code,L17,regular
4085172,name,Blundell Street,regular
4085172,highway,unclassified,regular
4085172,postal_code,L1,regular
4215745,ref,B5173,regular
4215745,name,Holt Road,regular
4215745,highway,secondary,regular
4237101,name,Childwall Priory Road,regular
4237101,lanes,1,regular
4237101,highway,tertiary,regular
4237101,postal_code,L16,regular
4241013,highway,tertiary,regular
4241013,name,Childwall Abbey Road,regular
4241013,oneway,yes,regular
4248287,name,Hillside Court,regular
4248287,highway,residential,regular
4248287,postal_code,L25,regular
4261124,name,Doe Park Courtyard,regular
4261124,highway,residential,regular
4261124,created_by,JOSM,regular
4261124,postal_code,L25,regular
4288834,ref,A561,regular
4288834,name,Speke Road,regular
4288834,oneway,yes,regular
4288834,highway,trunk,regular
4288834,maxspeed,40 mph,regular
4288834,old_name,Dodds Lane,regular
4288834,postal_code,L24,regular
4314013,name,Dinesen Road,regular
4314013,highway,unclassified,regular
4314013,postal_code,L19,regular
4330638,name,Calthorpe Street,regular
4330638,highway,residential,regular
4330638,postal_code,L19,regular
4335494,name,Cranwell Walk,regular
4335494,highway,footway,regular
4335494,created_by,JOSM,regular
4361196,name,Elmsfield Close,regular
4361196,highway,residential,regular
4361196,created_by,JOSM,regular
4361196,postal_code,L25,regular
4377451,name,Holmefield Avenue,regular
4377451,highway,residential,regular
4377451,postal_code,L19,regular
4400800,name,Wallcroft,regular
4400800,highway,residential,regular
4400800,created_by,JOSM,regular
4412655,name,Sutton Avenue,regular
4412655,highway,residential,regular
4418909,name,Breezehill Road,regular
4418909,highway,residential,regular
4433505,highway,footway,regular
4433505,created_by,JOSM,regular
4471543,name,Stowe Close,regular
4471543,highway,residential,regular
4471543,postal_code,L25,regular
4480334,name,Moss Grove,regular
4480334,highway,residential,regular
4480334,postal_code,L8,regular
4488366,leisure,common,regular
4519939,highway,service,regular
4519939,created_by,JOSM,regular
4540706,name,Turner's View,regular
4540706,highway,residential,regular
4575096,highway,tertiary,regular
4575096,name,Browns Lane,regular
4575096,name,Brown's Lane,not
4614786,name,Colindale Road,regular
4614786,highway,residential,regular
4614786,postal_code,L16,regular
4711819,lit,yes,regular
4711819,name,Speke Hall Road,regular
4711819,lanes,2,regular
4711819,oneway,yes,regular
4711819,highway,tertiary,regular
4711819,postal_code,L24,regular
4830210,name,Newsham Park,regular
4830210,source,"npe, landsat",regular
4830210,leisure,park,regular
4901238,name,Christleton Drive,regular
4901238,highway,residential,regular
4901238,created_by,JOSM,regular
4990652,highway,service,regular
4990652,created_by,JOSM,regular
4990652,postal_code,L18,regular
5012840,landuse,residential,regular
5012840,created_by,Potlatch 0.8,regular
5077819,foot,no,regular
5077819,horse,no,regular
5077819,oneway,yes,regular
5077819,bicycle,no,regular
5077819,highway,motorway_link,regular
5077819,operator,Merseyside Integrated Transport Authority,regular
5132372,building,yes,regular
5132372,created_by,Potlatch alpha,regular
7798777,highway,footway,regular
7798777,created_by,JOSM,regular
8028836,name,Hale Street,regular
8028836,highway,residential,regular
8028836,created_by,Potlatch 0.10a,regular
8048425,highway,service,regular
8048425,created_by,Potlatch alpha,regular
8663021,name,Wheathill Road,regular
8663021,lanes,1,regular
8663021,highway,unclassified,regular
10102842,lit,yes,regular
10102842,ref,B5171,regular
10102842,name,Acrefield Road,regular
10102842,lanes,1,regular
10102842,highway,secondary,regular
10102842,history,Retrieved from v1,regular
10102842,postal_code,L25,regular
10377796,admin_level,8,regular
10377796,boundary,administrative,regular
10377796,district,Sefton,left
10377796,district,Liverpool,right
10377796,source,OS_OpenData_BoundaryLine,regular
11531421,name,Rector Road,regular
11531421,highway,residential,regular
11810627,name,Shaws Alley,regular
11810627,highway,unclassified,regular
11815875,name,Beach Bank,regular
11815875,source,yahoo,regular
11815875,highway,residential,regular
11815875,surface,unpaved,regular
11815875,abutters,residential,regular
11815875,created_by,Potlatch 0.5d,regular
11842690,name,Fox Street,regular
11842690,highway,tertiary,regular
11842690,postal_code,L3,regular
11966986,name,Brighton Road,regular
11966986,highway,residential,regular
11966986,surface,paved,regular
11966986,abutters,residential,regular
12137662,name,Canterbury Way,regular
12137662,highway,residential,regular
12170618,name,Back Guildford Street,regular
12170618,highway,residential,regular
12170618,name,Back Guilford Street,not
12170618,postal_code,L6,regular
12336696,name,Landseer Road,regular
12336696,highway,residential,regular
12336696,postal_code,L5,regular
12717200,name,Smithy Hill,regular
12717200,highway,unclassified,regular
12717200,ncn_ref,56,regular
13038976,ref,A5056,regular
13038976,name,Bankhall Street,regular
13038976,highway,primary,regular
13867929,name,Brabant Road,regular
13867929,highway,unclassified,regular
13867929,postal_code,L17,regular
14332282,name,Queensbury Avenue,regular
14332282,highway,residential,regular
15080701,ref,B5422,regular
15080701,name,Hawthorne Road,regular
15080701,oneway,yes,regular
15080701,highway,secondary,regular
15741876,name,Pickop Street,regular
15741876,highway,unclassified,regular
15741876,postal_code,L3,regular
16110268,lit,yes,regular
16110268,name,Atlantic Way,regular
16110268,oneway,no,regular
16110268,highway,residential,regular
19851301,name,Edith Road,regular
19851301,access,private,regular
19851301,oneway,no,regular
19851301,highway,residential,regular
22744283,name,Old Racecourse Road,regular
22744283,highway,residential,regular
22744283,name,OS OpenData StreetView,source
22791981,building,yes,regular
22791981,created_by,Potlatch 0.6c,regular
22796437,name,Pighue Lane,regular
22796437,oneway,yes,regular
22796437,highway,unclassified,regular
22796437,surface,paved,regular
22796437,postal_code,L13,regular
22796843,highway,residential,regular
22796843,name,Crossley Drive,regular
22796843,postal_code,L15,regular
22796843,surface,paved,regular
22946340,foot,yes,regular
22946340,highway,footway,regular
22946340,created_by,Potlatch 0.7,regular
22972206,name,Ashover Avenue,regular
22972206,highway,residential,regular
22972206,postal_code,L14,regular
23146591,name,Galbraith Close,regular
23146591,highway,residential,regular
23146591,surface,paved,regular
23146591,created_by,Potlatch 0.7b,regular
23146591,postal_code,L17,regular
23299792,highway,unclassified,regular
23299792,created_by,JOSM,regular
